Country,Status,Process,Age Group,Sex,  POC  
Other Nationalites,ASR,A,18 - 59 years,Female, 2 
Other Nationalites,ASR,A,18 - 59 years,Male, 4 
Other Nationalites,ASR,A,5 - 11 years,Female, 1 
Other Nationalites,REF,A,12 - 17 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 4 
Other Nationalites,REF,A,18 - 59 years,Male, 9 
Other Nationalites,REF,A,5 - 11 years,Female, 1 
Afghan,ASR,A,0 - 4 years,Female,"4,427"
Afghan,ASR,A,0 - 4 years,Male,"4,746"
Afghan,ASR,A,12 - 17 years,Female,"4,575"
Afghan,ASR,A,12 - 17 years,Male,"6,823"
Afghan,ASR,A,18 - 59 years,Female,"21,983"
Afghan,ASR,A,18 - 59 years,Male,"72,066"
Afghan,ASR,A,5 - 11 years,Female,"7,600"
Afghan,ASR,A,5 - 11 years,Male,"8,797"
Afghan,ASR,A,60+ years,Female,733
Afghan,ASR,A,60+ years,Male,931
Afghan,ASR,H,60+ years,Female,1
Afghan,REF,A,0 - 4 years,Female,159
Afghan,REF,A,0 - 4 years,Male,147
Afghan,REF,A,12 - 17 years,Female,325
Afghan,REF,A,12 - 17 years,Male,376
Afghan,REF,A,18 - 59 years,Female,"1,135"
Afghan,REF,A,18 - 59 years,Male,"1,125"
Afghan,REF,A,5 - 11 years,Female,325
Afghan,REF,A,5 - 11 years,Male,351
Afghan,REF,A,60+ years,Female,51
Afghan,REF,A,60+ years,Male,71
Afghan,REF,H,12 - 17 years,Female,1
Afghan,REF,H,12 - 17 years,Male,2
Afghan,REF,H,18 - 59 years,Female,6
Afghan,REF,H,18 - 59 years,Male,6
Afghan,REF,H,60+ years,Male,1
Iranians,ASR,A,0 - 4 years,Female,529
Iranians,ASR,A,0 - 4 years,Male,637
Iranians,ASR,A,12 - 17 years,Female,590
Iranians,ASR,A,12 - 17 years,Male,750
Iranians,ASR,A,18 - 59 years,Female,"7,240"
Iranians,ASR,A,18 - 59 years,Male,"12,830"
Iranians,ASR,A,5 - 11 years,Female,"1,004"
Iranians,ASR,A,5 - 11 years,Male,"1,083"
Iranians,ASR,A,60+ years,Female,152
